"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"strict","first_valid","regulation_1x2","brier","confidence","low",26,104,0.25,0.658612989167036,0.605528310542376,0.709190163485508
"strict","first_valid","regulation_1x2","brier","confidence","medium",39,104,0.375,0.475917118854639,0.402540317095764,0.560841615511778
"strict","first_valid","regulation_1x2","brier","outcome_class","away",27,104,0.259615384615385,0.37443161597072,0.314920429381423,0.441544970080285
"strict","first_valid","regulation_1x2","brier","outcome_class","draw",16,104,0.153846153846154,0.91646523343789,0.872773597261076,0.969754079930209
"strict","first_valid","regulation_1x2","brier","outcome_class","home",40,104,0.384615384615385,0.403964749192581,0.346020847381727,0.463745815734343
"strict","first_valid","regulation_1x2","brier","overall","all",83,104,0.798076923076923,0.493152859444806,0.433838418714534,0.553796207718225
"strict","first_valid","regulation_1x2","brier","stage","group",52,52,1,0.508406160568166,0.432643065238425,0.591259747436056
"strict","first_valid","regulation_1x2","brier","stage","knockout",31,31,1,0.4675666769153,0.387497533232327,0.548726130489215
"strict","first_valid","regulation_1x2","log_loss","confidence","high",18,104,0.173076923076923,0.568692933452214,0.420991922225654,0.776946689977977
"strict","first_valid","regulation_1x2","log_loss","confidence","low",26,104,0.25,1.08839464301556,1.01098050213863,1.1668937401573
"strict","first_valid","regulation_1x2","log_loss","confidence","medium",39,104,0.375,0.831790344847336,0.72774635899293,0.944989507241005
"strict","first_valid","regulation_1x2","log_loss","outcome_class","away",27,104,0.259615384615385,0.69003512100268,0.60950742266829,0.781779830273021
"strict","first_valid","regulation_1x2","log_loss","outcome_class","draw",16,104,0.153846153846154,1.45061141551122,1.40759755639338,1.50258429849516
"strict","first_valid","regulation_1x2","log_loss","outcome_class","home",40,104,0.384615384615385,0.72834565135847,0.649004065612592,0.810548110224508
"strict","first_valid","regulation_1x2","log_loss","overall","all",83,104,0.798076923076923,0.855115144211935,0.778391940746509,0.937731592584397
"strict","first_valid","regulation_1x2","log_loss","stage","group",52,52,1,0.876221930524429,0.768919344476499,0.985725346090982
"strict","first_valid","regulation_1x2","log_loss","stage","knockout",31,31,1,0.819710212332913,0.70868338559458,0.928643041138461
"strict","first_valid","regulation_1x2","rps","confidence","high",18,104,0.173076923076923,0.0918235760555506,0.0700252432378976,0.120480074597073
"strict","first_valid","regulation_1x2","rps","confidence","low",26,104,0.25,0.221018235340244,0.197840696097656,0.242707074995243
"strict","first_valid","regulation_1x2","rps","confidence","medium",39,104,0.375,0.169261784494327,0.14724832600076,0.194879513286771
"strict","first_valid","regulation_1x2","rps","outcome_class","away",27,104,0.259615384615385,0.160492722255734,0.131648863064682,0.193917718473804
"strict","first_valid","regulation_1x2","rps","outcome_class","draw",16,104,0.153846153846154,0.165773632775404,0.150592931243738,0.183088119398039
"strict","first_valid","regulation_1x2","rps","outcome_class","home",40,104,0.384615384615385,0.175370661445343,0.146385144050651,0.20486995533526
"strict","first_valid","regulation_1x2","rps","overall","all",83,104,0.798076923076923,0.168680820278615,0.1513184126898,0.186548582964476
"strict","first_valid","regulation_1x2","rps","stage","group",52,52,1,0.166160563398722,0.144413549812079,0.189742970951013
"strict","first_valid","regulation_1x2","rps","stage","knockout",31,31,1,0.172908347948112,0.147815379570418,0.200428594403298
"strict","first_valid","scoreline","away_goal_rps","confidence","high",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","confidence","low",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","confidence","medium",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","outcome_class","away",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","outcome_class","draw",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","outcome_class","home",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","overall","all",0,104,0,,,
"strict","first_valid","scoreline","away_goal_rps","stage","group",0,52,0,,,
"strict","first_valid","scoreline","away_goal_rps","stage","knockout",0,31,0,,,
"strict","first_valid","scoreline","exact_score_hit","confidence","high",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","confidence","low",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","confidence","medium",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","outcome_class","away",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","outcome_class","draw",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","outcome_class","home",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","overall","all",0,104,0,,,
"strict","first_valid","scoreline","exact_score_hit","stage","group",0,52,0,,,
"strict","first_valid","scoreline","exact_score_hit","stage","knockout",0,31,0,,,
"strict","first_valid","scoreline","home_goal_rps","confidence","high",0,104,0,,,
"strict","first_valid","scoreline","home_goal_rps","confidence","low",0,104,0,,,
"strict","first_valid","scoreline","home_goal_rps","confidence","medium",0,104,0,,,
"strict","first_valid","scoreline","home_goal_rps","outcome_class","away",0,104,0,,,
"strict","first_valid","scoreline","home_goal_rps","outcome_class","draw",0,104,0,,,
